strategy,race_id,date,venue,race_number,selection_rank,ticket,stake_units,decimal_odds,p_final,p_model,p_market,expected_value,actual_hit,payout_units,return_units,profit_units,asof_label,odds_policy_status
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-73-06,2026-01-03,小松島,6,6,3-4-7,1,22.1,0.033828473846,0.033828473846,,0.747609271997,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-73-07,2026-01-03,小松島,7,1,6-1-5,1,85.2,0.008766688108,0.008766688108,,0.746921826802,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-73-07,2026-01-03,小松島,7,2,6-1-3,1,60.6,0.012325442686,0.012325442686,,0.746921826772,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-73-07,2026-01-03,小松島,7,3,1-5-6,1,11.7,0.063839472373,0.063839472373,,0.746921826764,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-73-07,2026-01-03,小松島,7,4,1-6-5,1,12.1,0.061729076592,0.061729076592,,0.746921826763,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-73-07,2026-01-03,小松島,7,5,6-3-1,1,152.2,0.004907502147,0.004907502147,,0.746921826773,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-73-07,2026-01-03,小松島,7,6,5-6-1,1,202.8,0.003683046483,0.003683046483,,0.746921826752,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-13-06,2026-01-04,いわき平,6,1,1-3-4,1,90.6,0.008241901665,0.008241901665,,0.746716290849,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-13-06,2026-01-04,いわき平,6,2,1-5-7,1,53.1,0.014062453688,0.014062453688,,0.746716290833,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-13-06,2026-01-04,いわき平,6,3,3-1-7,1,78.2,0.009548801673,0.009548801673,,0.746716290829,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-13-06,2026-01-04,いわき平,6,4,1-5-6,1,86.3,0.008652564204,0.008652564204,,0.746716290805,False,,0,-1,final,final_odds_research_only
